9.560882e+04	5.647752e-08	2.481640e-08	4.708214e-09	1.069063e-01	9.725731e-02	-4.787704e-13	0.000000e+00	-0.000000e+00	-4.787704e-13
1.434132e+05	4.382340e-08	2.001868e-08	6.893853e-09	9.950101e-02	9.322538e-02	8.845594e-14	0.000000e+00	-0.000000e+00	8.845594e-14
1.912654e+05	6.089752e-08	2.850461e-08	9.662690e-07	9.612289e-02	9.141349e-02	-7.980882e-13	0.000000e+00	-0.000000e+00	-7.980882e-13
2.390698e+05	4.880036e-08	1.888087e-08	1.002259e-06	9.403733e-02	9.006852e-02	4.697188e-13	0.000000e+00	-0.000000e+00	4.697188e-13
2.868743e+05	4.121909e-08	2.483463e-08	1.047321e-06	9.288591e-02	8.922152e-02	-7.343782e-13	0.000000e+00	-0.000000e+00	-7.343782e-13
3.346309e+05	5.832600e-08	3.704544e-08	1.827071e-08	9.130270e-02	8.845354e-02	-1.812269e-12	0.000000e+00	-0.000000e+00	-1.812269e-12
3.824353e+05	4.733943e-08	2.114117e-08	2.108946e-08	9.043914e-02	8.797578e-02	2.098385e-12	0.000000e+00	-0.000000e+00	2.098385e-12
0.000000e+00	0.000000e+00	1.511585e-18	0.000000e+00	5.304339e-01	3.720920e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	-nan	-nan	-nan	1.271579e-01	1.092445e-01	-nan	0.000000e+00	-nan	-nan
9.560882e+04	5.976162e-08	2.332675e-08	4.557052e-09	1.084273e-01	9.753999e-02	5.140507e-13	0.000000e+00	-0.000000e+00	5.140507e-13
1.434132e+05	4.735805e-08	2.143598e-08	6.685782e-09	1.021001e-01	9.411661e-02	-7.664722e-13	0.000000e+00	-0.000000e+00	-7.664722e-13
1.912654e+05	4.904103e-08	2.356832e-08	9.240207e-07	9.836076e-02	9.239531e-02	2.047035e-13	0.000000e+00	-0.000000e+00	2.047035e-13
2.390698e+05	3.632900e-08	1.760509e-08	9.242152e-07	9.656306e-02	9.145169e-02	6.611963e-13	0.000000e+00	-0.000000e+00	6.611963e-13
2.868743e+05	5.151237e-08	2.446653e-08	9.068387e-07	9.512378e-02	9.082947e-02	-9.931520e-14	0.000000e+00	-0.000000e+00	-9.931520e-14
3.346309e+05	3.827561e-08	2.287803e-08	1.324005e-08	9.411628e-02	9.028608e-02	7.536449e-13	0.000000e+00	-0.000000e+00	7.536449e-13
3.824353e+05	2.581378e-08	1.557871e-08	1.386007e-08	9.296486e-02	8.950563e-02	1.066461e-13	0.000000e+00	-0.000000e+00	1.066461e-13
0.000000e+00	0.000000e+00	1.524867e-18	0.000000e+00	5.361190e-01	3.756785e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	6.038034e-08	2.154024e-08	9.015829e-07	1.282600e-01	1.113514e-01	-1.286265e-13	0.000000e+00	-0.000000e+00	-1.286265e-13
9.560882e+04	5.951374e-08	2.569094e-08	4.448756e-09	1.088549e-01	9.896204e-02	2.479146e-13	0.000000e+00	-0.000000e+00	2.479146e-13
1.434132e+05	6.190669e-08	1.993966e-08	6.885320e-09	1.019492e-01	9.493588e-02	-5.314234e-13	0.000000e+00	-0.000000e+00	-5.314234e-13
1.912654e+05	6.998598e-08	2.041558e-08	9.638444e-07	9.741964e-02	9.232544e-02	1.314104e-12	0.000000e+00	-0.000000e+00	1.314104e-12
2.390698e+05	6.491111e-08	2.075549e-08	9.554146e-07	9.562194e-02	9.128294e-02	7.952243e-13	0.000000e+00	-0.000000e+00	7.952243e-13
2.868743e+05	5.018019e-08	2.539275e-08	9.880808e-07	9.425602e-02	9.036110e-02	-1.426306e-12	0.000000e+00	-0.000000e+00	-1.426306e-12
3.346309e+05	4.567010e-08	2.178218e-08	1.662412e-08	9.267281e-02	8.945486e-02	7.670553e-13	0.000000e+00	-0.000000e+00	7.670553e-13
3.824353e+05	3.622598e-08	1.928935e-08	1.796158e-08	9.123353e-02	8.878272e-02	-6.034032e-13	0.000000e+00	-0.000000e+00	-6.034032e-13
0.000000e+00	0.000000e+00	1.528015e-18	0.000000e+00	5.315853e-01	3.702775e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	5.964162e-08	2.407442e-08	8.851357e-07	1.298335e-01	1.125809e-01	-8.873126e-13	0.000000e+00	-0.000000e+00	-8.873126e-13
9.560882e+04	5.909775e-08	2.365476e-08	4.090201e-09	1.093531e-01	9.992825e-02	-6.289430e-14	0.000000e+00	-0.000000e+00	-6.289430e-14
1.434132e+05	4.294947e-08	1.910893e-08	5.905589e-09	1.033871e-01	9.629070e-02	5.007192e-15	0.000000e+00	-0.000000e+00	5.007192e-15
1.912654e+05	5.670385e-08	2.385183e-08	8.931075e-07	9.799116e-02	9.280531e-02	-1.116458e-12	0.000000e+00	-0.000000e+00	-1.116458e-12
2.390698e+05	-nan	-nan	-nan	9.609180e-02	9.133409e-02	-nan	0.000000e+00	-nan	-nan
2.868743e+05	3.746401e-08	2.281407e-08	9.291708e-07	9.432240e-02	9.047922e-02	6.868508e-13	0.000000e+00	-0.000000e+00	6.868508e-13
3.346309e+05	5.434557e-08	2.366514e-08	1.518499e-08	9.302705e-02	8.967314e-02	9.093345e-13	0.000000e+00	-0.000000e+00	9.093345e-13
3.824353e+05	3.509385e-08	1.844126e-08	1.677101e-08	9.201955e-02	8.910066e-02	-3.921717e-13	0.000000e+00	-0.000000e+00	-3.921717e-13
0.000000e+00	0.000000e+00	1.499143e-18	0.000000e+00	5.380620e-01	3.743575e-01	0.000000e+00	-nan	-0.000000e+00	-nan
0.000000e+00	0.000000e+00	1.521943e-18	0.000000e+00	5.300021e-01	3.677155e-01	0.000000e+00	-nan	-0.000000e+00	-nan
0.000000e+00	0.000000e+00	1.463381e-18	0.000000e+00	5.316572e-01	3.703747e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	4.461064e-04	3.585151e-04	4.626367e-06	1.228301e-01	1.078372e-01	6.547834e-04	-nan	-0.000000e+00	-nan
9.560882e+04	3.986433e-04	1.107197e-04	1.328768e-06	1.041194e-01	9.625681e-02	-2.246921e-04	-nan	-0.000000e+00	-nan
